,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Total, vehicle sales and leases","51,420","49,650","49,420","51,567","55,061","56,458","55,701","56,337","56,401","57,699","59,030","59,874","59,825","60,242","59,395","61,128","59,026","57,649","49,830","46,042","48,500","49,699","52,077","51,368","52,758","54,727","56,162","56,435","57,545","57,865",U,U,U
    New vehicle sales and leasesa,"13,890","12,360","12,470","13,510","14,920","14,700","14,900","15,100","15,560","16,960","17,410","17,250","16,800","16,670","16,850","16,990","16,460","16,230","13,300","10,550","11,589","12,778","14,494","15,592","16,516","17,472","17,559","17,231","17,312","17,059","14,555","15,016","13,782"
    Passenger cars,"9,300","8,200","8,200","8,500","9,000","8,500","8,200","8,200","8,200","8,750","9,000","8,550","8,300","8,050","8,220","8,020","8,150","8,060","7,110","5,850","5,724","6,128","7,245","7,583","7,695","7,532","6,882","6,104","5,326","4,733","3,426","3,326","2,895"
    Light trucks,"4,590","4,160","4,270","5,010","5,920","6,200","6,700","6,900","7,360","8,210","8,410","8,700","8,500","8,620","8,630","8,970","8,310","8,170","6,190","4,700","5,865","6,650","7,249","8,010","8,821","9,940","10,677","11,127","11,986","12,326","11,129","11,690","10,887"
    New vehicle sales,"12,826","11,106","10,748","11,028","11,696","11,320","11,120","11,260","11,050","11,500","12,120","12,690","12,852","13,268","13,406","13,492","12,742","12,317","10,285","8,047","9,610","10,521","11,923","12,364","12,944","13,473","13,251","13,048","13,077","12,817","11,014","11,741","11,522"
    Passenger cars,"8,320","7,080","6,870","6,780","6,770","6,270","5,850","5,890","5,410","6,090","6,290","6,040","6,350","6,240","6,340","6,098","6,182","6,177","5,387","4,507","4,515","4,812","5,692","5,712","5,751","5,559","4,981","4,479","4,005","3,506","2,511","2,533","2,453"
    Light trucks,"4,506","4,026","3,878","4,248","4,926","5,050","5,270","5,370","5,640","5,410","5,830","6,650","6,502","7,028","7,066","7,394","6,560","6,140","4,898","3,540","5,095","5,709","6,231","6,653","7,193","7,914","8,270","8,568","9,072","9,311","8,502","9,208","9,069"
    New vehicle leases,"1,064","1,254","1,722","2,482","3,224","3,380","3,780","3,840","4,510","5,460","5,290","4,560","3,948","3,402","3,444","3,498","3,718","3,913","3,015","2,503","1,979","2,256","2,571","3,228","3,572","3,999","4,308","4,183","4,234","4,242","3,541","3,275","2,260"
    Passenger cars,980,"1,120","1,330","1,720","2,230","2,230","2,350","2,310","2,790","2,660","2,710","2,510","1,950","1,810","1,880","1,922","1,968","1,883","1,723","1,343","1,209","1,316","1,553","1,871","1,944","1,973","1,901","1,624","1,320","1,227",915,793,442
    Light trucks,84,134,392,762,994,"1,150","1,430","1,530","1,720","2,800","2,580","2,050","1,998","1,592","1,564","1,576","1,750","2,030","1,292","1,160",770,941,"1,018","1,357","1,628","2,026","2,407","2,559","2,914","3,015","2,626","2,482","1,817"
    Used vehicle sales,"37,530","37,290","36,950","38,057","40,141","41,758","40,801","41,237","40,841","40,739","41,620","42,624","43,025","43,572","42,545","44,138","42,566","41,419","36,530","35,492","36,911","36,921","37,583","35,776","36,242","37,255","38,602","39,204","40,233","40,807",U,U,U
Value (billions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Total, new and used vehicle sales",447,437,486,524,582,611,627,642,651,698,736,737,721,738,765,776,786,774,643,575,945,"1,008","1,074","1,103","1,176","1,273","1,340","1,371","1,435","1,477",U,U,U
    New vehicle sales,227,208,240,267,291,292,298,306,316,348,380,369,371,382,407,421,445,435,351,274,347,391,446,495,535,580,599,606,626,636,571,683,644
    Used vehicle sales,220,229,246,257,291,319,329,336,335,350,356,367,350,356,358,355,341,339,292,301,598,617,628,608,641,693,741,764,809,841,U,U,U
    Average price (current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    New and used vehicle sales,"8,691","8,813","9,759","10,078","10,543","10,818","11,221","11,385","11,545","12,098","12,469","12,321","12,034","12,253","12,868","12,695","13,287","13,451","12,909","12,518","25,809","26,167","25,770","26,184","26,600","27,506","28,044","28,329","28,757","29,302",U,U,U
    New vehicle sales,"16,350","16,880","18,655","19,200","19,335","19,819","19,727","20,214","20,276","20,534","21,850","21,507","22,005","22,894","24,082","24,796","26,854","26,950","26,477","26,245","35,417","35,635","34,839","35,368","35,500","36,412","36,888","37,158","37,414","38,003","39,251","45,458","46,724"
    Used vehicle sales,"5,857","6,143","6,656","6,742","7,245","7,644","8,073","8,139","8,211","8,587","8,547","8,619","8,130","8,180","8,410","8,036","8,009","8,186","7,986","8,483","16,200","16,700","16,700","17,000","17,700","18,600","19,200","19,500","20,100","20,600",U,U,U
